M_UI,SE_UI,SS_UI,M_I,SE_I,SS_I,Rich_UI,Rich_UI,Nat,Inv,N_Height,I_Height,N_Nitr,I_Nitr,Y,X
0.31,0.245967478,5,0.22,0.089442719,5,11,4,Rubus sp,Fallopia japonica,0.5,2,479,,50.799751,4.414616
0.35,0.089442719,5,0.34,0.894427191,5,10,6,Petasites hybridus,Fallopia japonica,0.575,2,,,50.799751,4.414616
0.14,0.02236068,5,0.15,0.067082039,5,40,11,Agrostis stolonifera,Solidago gigantea,0.2,2.49936,,,50.862771,4.470963
0.214,0.01,4,0.1237,0.0046,4,-9999,-9999,Festuca arundinacea,Cortaderia selloana,0.55,2.7432,,,42.22302,3.085184
385,16,3,445,22,3,-9999,-9999,Pleuraphis jamesii,Bromus tectorum,,0.6,,,38.24878,-109.873495
0.24,0.111803399,5,0.25,0.089442719,5,7,14,Urtica dioica,Heracleum mantegazzianum,1.5,5.5,,,50.799751,4.414616
344.1,8.08084154,12,347.9,6.66183158,12,-9999,-9999,Festuca ovina,Elaeagnus umbellata,0.45,4.572,,,37.69027778,-89.25388889
146,10.2,6,538,91.9,6,-9999,-9999,NA,Acacia saligna,,,,,-33.51666667,18.53333333
16,19,10,3,2,10,-9999,-9999,Metrosideros polymorpha,Myrica cerifera,20,12,,,19.733421,-155.090389
1.02,0.15513435,6,0.64,0.057154761,6,2,1,Glechoma hederacea,Heracleum mantegazzianum,0.1,5.5,1488,,50.800919,4.414715
0.1487,0.0755,6,0.2212,0.0246,6,4,4,Urtica dioica,Fallopia japonica,1.5,2,,,50.57222222,4.711666667
0.52,0.313049517,5,0.45,0.424852916,5,12,4,Urtica dioica,Heracleum mantegazzianum,1.5,5.5,,,50.870477,4.314837
5.03,0.6,5,6.33,0.58,5,-9999,-9999,Grass sp,Bromus tectorum,,0.6,,,39.33536,-123.800812
0.14,0.004082483,6,0.15,0.008164966,6,8,1,Agrostis stolonifera,Solidago gigantea,0.2,2.49936,,,50.865778,4.469376
50.81766667,4.382066332,4,48.45423333,3.250781853,4,-9999,-9999,Ulmus minor,Alianthis altissima,2.3,,,,40.56666667,-3.2
0.15,0.04472136,5,0.16,0.04472136,5,5,12,Arrhenatherum elatius,Prunus serotina,1.2,15.2,,1638,50.799859,4.334278
971.8446,222.4027,18,1753.5227,248.3531,18,-9999,-9999,Festuca ovina,Elaeagnus umbellata,0.45,4.572,,,37.69027778,-89.25388889
0.0874,0.0164,12,0.8775,0.1531,12,-9999,-9999,NA,Acacia saligna,,,,,-33.497101,18.589897
0.4815,0.0334,30,0.4843,0.0283,30,22.33423,12.54448,NA,Oxalis pes-caprae,,0.2,,,39.258841,26.27655
0.2593,0.0308,22,0.2864,0.0193,22,19.59155,19.80914,NA,Oxalis pes-caprae,,0.2,,,39.696621,3.02948
468,19,20,483,24,20,,,Banksia spp,Ehrharta calycina,,1.2192,,,-31.947447,115.781136
0.1448,0.0141,30,0.1219,0.0078,30,12.28997,11.83949,NA,Oxalis pes-caprae,,0.2,,,40.010787,9.173584
0.16875,0.462281229,15,0.1715,0.357831322,15,15,11.5,NA,Mimulus guttatus,,0.762,,,57.13333333,-2.633333333
0.12665,0.37623073,15,0.1551,0.353072943,15,15,11.5,NA,Mimulus guttatus,,0.762,,,57.13333333,-2.633333333
0.5181,0.0907,13,0.4819,0.0701,13,15.96071,8.857,NA,Carpobrotus spp,,,,,43.013308,6.363058
0.227,0.0759,21,0.3866,0.0525,21,4.54484,5.31819,NA,Carpobrotus spp,,,,,43.011677,6.223068
0.2589,0.0384,12,0.2578,0.0231,12,27.80175,25.35003,NA,Oxalis pes-caprae,,0.2,,,39.943436,4.11438
0.3023,0.0789,14,0.2456,0.0351,14,23.30315,10.2134,NA,Carpobrotus spp,,,,,35.209722,24.829102
0.1445,0.0176,25,0.2104,0.0203,25,13.6846,7.14162,NA,Carpobrotus spp,,,,,39.696621,3.02948
0.4068,0.064,24,0.4531,0.0667,24,10.97393,9.85657,NA,Oxalis pes-caprae,,0.2,,,43.011677,6.223068
0.3936,0.0875,12,0.38,0.1039,12,-9999,-9999,NA,Lupinus luteus,,0.6096,,,-33.497101,18.589897
0.272,0.001,10,0.253,0.005,10,-9999,-9999,Andropogon gerardii,Andropogon bladhii,0.71,,,,39.098744,-96.606152
0.1925,0.0176,24,0.2115,0.0194,24,15.8515,9.96323,NA,Carpobrotus spp,,,,,39.943436,4.11438
0.0294,0.0088,30,0.037,0.0114,30,16.83404,9.73009,NA,Carpobrotus spp,,,,,40.010787,9.173584
3.1513,1.0291,7,2.444,0.8707,7,11,6,Pascopyrum smithii,Centaurea diffusa,,0.3,,,40.01388889,-105.2055556
1.495366667,0.114974007,4,1.596533333,0.128132377,4,-9999,-9999,Ulmus minor,Alianthis altissima,2.3,,,,40.56666667,-3.2
39.89796667,1.798849163,4,42.80706667,3.646827789,4,-9999,-9999,Fraxinus angustifolia,Robinia pseudoacacia,25,27,2071,278,40.56666667,-3.2
0.3508,0.0615,10,0.2933,0.0205,10,28.1718,18.04786,NA,Oxalis pes-caprae,,0.2,,,35.209722,24.829102
1.253733333,0.114846787,4,1.4928,0.109514821,4,-9999,-9999,Fraxinus angustifolia,Robinia pseudoacacia,25,27,2071,278,40.56666667,-3.2
0.1356,0.0098,6,0.1438,0.0114,6,-9999,-9999,Grass sp,Centaurea maculosa,,0.475,,,45.45833333,-110.6066667
0.3668,0.0098,6,0.37,0.0148,6,-9999,-9999,Grass sp,Centaurea maculosa,,0.475,,,45.595,-111.09
0.69,0.03,5,0.99,0.06,5,-9999,-9999,Metrosideros polymorpha,Falcataria moluccana,20,,,,19.41972222,-154.9538889
13.2747,0.6495,4,16.1976,16.7659,4,-9999,-9999,Schizachyrium scoparium,Sorghum halepense,0.9144,1.0668,,,32.837121,-97.479286
108.2,27.05642253,5,122,28.84527691,5,5,12,Arrhenatherum elatius,Prunus serotina,1.2,15.2,,1638,50.799859,4.334278
105.9,94.36206865,5,109.9,31.30495168,5,7,14,Urtica dioica,Heracleum mantegazzianum,1.5,5.5,,,50.799751,4.414616
7.563102739,1.359565076,6,0.272709332,1.518797942,6,5,1,Rubus sp,Fallopia japonica,0.5,2,479,,50.78611111,4.4175
4.67666,0.334665216,30,6.45344,0.563331748,30,13,1,Achillea millefolium,Solidago gigantea,0.45,2.49936,685,,50.859927,4.464912
62.6,32.64659247,5,93,38.68397601,5,11,4,Rubus sp,Fallopia japonica,0.5,2,479,,50.799751,4.414616
7.563102739,1.359878163,6,0.272709332,1.452446017,6,10,6,Petasites hybridus,Fallopia japonica,0.575,2,,,50.79194444,4.408333333
45.4,1.5,5,20.8,0.7,5,11.42,11.08,NA,Cytisus scoparius,,2,,244,48.325,-122.4583333
102,10.1,5,97.7,12.5,5,-9999,-9999,Grass sp,Bromus tectorum,,0.6,,,39.33536,-123.800812
2.8,0.4,3,1.5,0.2,3,11.9,112.53,NA,Cytisus scoparius,,2,,244,48.57933333,-123.5216667
116.8,266.7629097,5,170.1,115.6047144,5,10,6,Petasites hybridus,Fallopia japonica,0.575,2,,,50.799751,4.414616
187.1,209.5195695,5,322.5,125.6670203,5,12,4,Urtica dioica,Heracleum mantegazzianum,1.5,5.5,,,50.870477,4.314837
169.7,55.00727225,5,257.7,268.9989777,5,9,1,Arrhenatherum elatius,Fallopia japonica,1.2,2,,,50.895427,4.416804
2.7105,0.5569,6,5.9411,0.0259,6,-9999,-9999,NA,Centaurea maculosa,,0.475,,,48.140432,-112.918854
16.8,4.384062043,8,19.7,6.470027048,8,7,1,Opuntia caracassana,Stapelia gigantea,,,,,10.12,-69.7
16.8,4.384062043,8,19.7,6.470027048,8,7,1,Opuntia caracassana,Stapelia gigantea,,,,,10.12,-69.7
0.84,0.03,5,0.98,0.02,5,-9999,-9999,Metrosideros polymorpha,Falcataria moluccana,20,,,,19.44805556,-154.8611111
68.2,54.78366545,5,97.9,51.20595668,5,40,11,Agrostis stolonifera,Solidago gigantea,0.2,2.49936,,,50.862771,4.470963
1.12005,0.49805,6,1.3716,0.2794,6,-9999,-9999,NA,Centaurea maculosa,,0.475,,,47.204642,-113.148193
10.4765,2.3657,6,22.9729,4.4558,6,-9999,-9999,NA,Centaurea maculosa,,0.475,,,47.328585,-114.218159
7.563102739,1.158777356,6,0.272709332,1.208648452,6,24,1,Calamagrostis epigejos,Fallopia japonica,,2,,,50.45833333,3.840277778
5.2,0.32,24,12.64,1.13,24,5.56,4.08,Festuca campestris,Centaurea stoebe,0.4572,1.2,,,50.75579,-120.465775
6.4,0.3,3,7,0.4,3,-9999,-9999,Pleuraphis jamesii,Bromus tectorum,,0.6,,,38.24878,-109.873495
